iter	MultiClass
144	0.8410467549
145	0.8398751304
146	0.8387956585
147	0.8381560156
148	0.8373622994
149	0.8369226954
150	0.8362845516
151	0.8356131281
152	0.8347711153
153	0.8340910688
154	0.8331993838
155	0.8328363508
156	0.8323869026
157	0.8316044949
158	0.8307203247
159	0.8301441648
160	0.829190894
161	0.8286337766
162	0.8278928954
163	0.8270242442
164	0.8262564883
165	0.8249276712
166	0.8239191167
167	0.8230797122
168	0.8220179857
169	0.8212071497
170	0.8200524859
171	0.8197833711
172	0.8188212378
173	0.8179674726
174	0.8173392151
175	0.8169524635
176	0.816018581
177	0.8145354778
178	0.8131974952
179	0.8121833124
180	0.8116290372
181	0.8110034074
182	0.8106159123
183	0.8102712769
184	0.8093440699
185	0.8085006603
186	0.8080794543
187	0.8072880316
188	0.8066772662
189	0.8059352121
190	0.8050929566
191	0.8039313818
192	0.8023086885
193	0.8017115174
194	0.80101424
195	0.8006899907
196	0.8001469021
197	0.7993579431
198	0.7984794031
199	0.7972709784
200	0.796357203
201	0.7957471322
202	0.7951539168
203	0.7944487552
204	0.7936909293
205	0.7928636672
206	0.791950367
207	0.7916071961
208	0.7911780308
209	0.7900626452
210	0.7887048298
211	0.7880228502
212	0.7874812426
213	0.7867671991
214	0.7862879565
215	0.7857622522
216	0.7845001414
217	0.7831384225
218	0.7822211295
219	0.7815958657
220	0.7807685313
221	0.7798053289
222	0.7793368563
223	0.7786525594
224	0.7780387403
225	0.7772652401
226	0.7766671034
227	0.7753329592
228	0.7746273603
229	0.7742433158
230	0.7733976652
231	0.7724747473
232	0.7716268763
233	0.7707356468
234	0.7700083552
235	0.7692276673
236	0.7683921434
237	0.7675955685
238	0.7663967244
239	0.7659416765
240	0.7656298622
241	0.7648182465
242	0.7638165445
243	0.7624198044
244	0.7612108893
245	0.7606447368
246	0.7598843045
247	0.7593663642
248	0.7585784049
249	0.7580724834
250	0.757343483
251	0.7566693619
252	0.7562880578
253	0.7556691115
254	0.7545443847
255	0.7536129445
256	0.7532866605
257	0.7527121636
258	0.7522101664
259	0.751792203
260	0.7508609599
261	0.7504142406
262	0.7501145614
263	0.7492759342
264	0.7490210667
265	0.7478869237
266	0.7474330274
267	0.746749691
268	0.7460925077
269	0.7456741485
270	0.7450407791
271	0.7445249418
272	0.7438604453
273	0.7430724331
274	0.7424295308
275	0.7418283727
276	0.7411534587
277	0.7404242267
278	0.740063415
279	0.7396213675
280	0.7386326546
281	0.7378185433
282	0.7374827628
283	0.7364715618
284	0.735606371
285	0.735109385
286	0.734346487
287	0.7338399522
288	0.7334314235
289	0.7330394824
290	0.732586145
291	0.7319610034
292	0.731388631
293	0.7304752869
294	0.729818643
295	0.7286624707
296	0.7279778521
297	0.7276039858
298	0.7270847184
299	0.7268166789
300	0.7263037747
301	0.7257977843
302	0.7253762069
303	0.7249134656
304	0.7240162706
305	0.7231210909
306	0.7224211086
307	0.7216704595
308	0.7210592993
309	0.7205337185
310	0.7199777015
311	0.719397765
312	0.7187765752
313	0.7181692071
314	0.7177408477
315	0.7171511885
316	0.7163918493
317	0.715665844
318	0.71495812
319	0.7143602874
320	0.7138656176
321	0.7130614284
322	0.7127147247
323	0.7121234642
324	0.7117594517
325	0.7107128587
326	0.7098705559
327	0.7094522615
328	0.7088784082
329	0.7079899912
330	0.7074400663
331	0.7067471488
332	0.7062526109
333	0.706023829
334	0.705803529
335	0.7050305736
336	0.7044266108
337	0.70370859
338	0.7032002518
339	0.7024883108
340	0.7020186803
341	0.701085103
342	0.700435753
343	0.6999210238
344	0.6988159334
345	0.6984879732
346	0.6981764076
347	0.6973348204
348	0.6965248956
349	0.6958673168
350	0.6954510824
351	0.6949334234
352	0.6943485753
353	0.6937263191
354	0.6930894886
355	0.6922096454
356	0.6913302945
357	0.6908871611
358	0.6903320067
359	0.6898731962
360	0.6892429333
361	0.6883041836
362	0.6875946303
363	0.6869179959
364	0.68613697
365	0.6854616125
366	0.6847313436
367	0.6841256295
368	0.6833473093
369	0.6830567303
370	0.6825718024
371	0.6819772244
372	0.6814198962
373	0.6805688976
374	0.6800843474
375	0.6794328684
376	0.67915765
377	0.6786301041
378	0.6783576457
379	0.6776736534
380	0.6769941451
381	0.676452831
382	0.6758547053
383	0.6754700521
384	0.6749929877
385	0.6743222935
386	0.6738919748
387	0.6733770427
388	0.6724605742
389	0.6722403926
390	0.6717249687
391	0.6709892819
392	0.6702747693
393	0.6697170023
394	0.6689905734
395	0.6684823069
396	0.6675336617
397	0.6668151742
398	0.6660649153
399	0.6656703104
400	0.6648681189
401	0.6641553604
402	0.6634699805
403	0.6629002193
404	0.662606109
405	0.6621709884
406	0.661843133
407	0.6609315
408	0.6604599907
409	0.6600344241
410	0.6592673121
411	0.6586956162
412	0.657970451
413	0.6574987147
414	0.6568588418
415	0.6561919571
416	0.6558584849
417	0.6552927054
418	0.6548878532
419	0.6541045031
420	0.6533529678
421	0.65289887
422	0.652428137
423	0.6519835787
424	0.6516598326
425	0.6511588638
426	0.6505455668
427	0.6500610951
428	0.6493079335
429	0.6485092103
430	0.6479212398
431	0.6475102844
432	0.6472331964
433	0.6467576047
434	0.646374742
435	0.6457937369
436	0.6450891084
437	0.6443074286
438	0.643685859
439	0.6431881402
440	0.643021931
441	0.6424761096
442	0.6418189042
443	0.6413841357
444	0.6408676092
445	0.6404192599
446	0.6395990879
447	0.6388380071
448	0.6379913653
449	0.6375840527
450	0.6371641186
451	0.6366906032
452	0.6361666137
453	0.6356781593
454	0.6352418784
455	0.6343916436
456	0.633665104
457	0.633078207
458	0.6324171049
459	0.6321070646
460	0.6318040499
461	0.6311749944
462	0.630772383
463	0.6302170488
464	0.62969819
465	0.6292972043
466	0.6289274373
467	0.6285698851
468	0.6278613013
469	0.6273444813
470	0.6267996833
471	0.6262294576
472	0.6253066337
473	0.62470209
474	0.6245533767
475	0.623869574
476	0.6234116826
477	0.6229479113
478	0.6222755482
479	0.6219007732
480	0.6210964794
481	0.6207982923
482	0.6205243349
483	0.620048717
484	0.619578391
485	0.618898983
486	0.618631299
487	0.6180260052
488	0.617191694
489	0.616653798
490	0.6160779134
491	0.6157664909
492	0.6154451338
493	0.6150173508
494	0.6145887217
495	0.6141609629
496	0.6137568508
497	0.6132530728
498	0.6130091473
499	0.6127736063
